大庭广众 众目睽睽
大同小异 迥然不同
大喜过望 大失所望
大显身手 大显神通
大显神通 大显身手
大巷 大街
大摇大摆 大模大样
大义凛然 卑躬屈膝
大意 粗心
大众 群众
呆板 板滞
呆头呆脑 天真烂漫
呆滞 凝滞
歹毒 恶毒
歹意 恶意
逮捕 拘捕
代替 替代
带领 率领
带路 领路
贷款 存款
待业 就业
怠惰 勤奋
担心 担忧
单薄 薄弱
单刀直入 开门见山
单独 独自
单方 双方
单干 合作
单身 独身
单数 双数
耽搁 耽误
耽误 耽搁
殚精竭虑 煞费苦心
胆大 胆小
胆怯 害怕
胆小 胆怯
胆战心惊 提心吊胆
但凡 凡是
诞生 降生
淡薄 淡漠
淡泊 恬淡
淡季 旺季
淡漠 冷淡
淡然 漠然
淡水 海水
淡雅 浓艳
弹冠相庆 粉墨登场
当初 现在
当地 外地
当机立断 犹豫不决
当前 以后
当时 事先
当务之急 燃眉之急
当先 领先
当心 留神
当选 中选
档次 层次
荡涤 清洗
刀山火海 龙潭虎穴
导致 招致
捣鬼 捣乱
捣毁 摧毁
倒闭 开张
倒霉 倒运
倒台 垮台
倒退 发展
祷告 祈祷
到处 四处
到达 抵达
到底 究竟
到任 就任
到职 离职
盗窃 偷盗
悼念 吊唁
道德 品德
道路 路途
道歉 抱歉
得不偿失 得失相当
得逞 未遂
得宠 失宠
得寸进尺 得陇望蜀
得当 妥当
得到 失掉
得过且过 苟且偷生
得空 无暇
得胜 失利
得失相当 得不偿失
得势 失势
得悉 得知
得心应手 随心所欲
得意 自得
得意忘形 得意洋洋
得意洋洋 得意忘形
得志 失意
的确 确实
灯红酒绿 纸醉金迷
登场 退场
登程 出发
登记 注销
登时 顿时
登载 刊登
等待 等候
等量齐观 相提并论
等内 等外
等同 同等
等闲视之 不屑一顾
低潮 高潮
低沉 消沉
低垂 高扬
低档 高档
低等 高等
低就 高攀
低空 高空
低廉 昂贵
低劣 优良
低落 高涨
低声下气 低三下四
低头 抬头
低微 卑微
低温 高温
低压 高压
低音 高音
敌对 友好
敌人 朋友
敌视 仇视
涤荡 扫荡
诋毁 诽谤
抵偿 赔偿
抵触 冲突
抵挡 抵御
抵赖 承认
抵御 抵挡
抵制 抵抗
底本 蓝本
底细 内幕
地步 境地
地方 中央
地理 天文
地利 天时
地面 空中
地区 地域
地位 位置
地狱 天堂
递加 递减
递减 递加
掂量 衡量
颠倒黑白 颠倒是非
颠倒是非 颠倒黑白
颠覆 推翻
颠沛流离 流离失所
颠扑不破 牢不可破
颠三倒四 井然有序
典范 模范
典礼 仪式
点燃 扑灭
点头 摇头
点缀 装点
惦记 想念
刁滑 狡猾
凋敝 繁荣
凋零 凋谢
凋谢 开放
雕刻 雕琢
吊销 撤消
钓饵 诱饵
掉队 落伍
掉以轻心 漫不经心
跌价 涨价
喋喋不休 三言两语
叮咛 叮嘱
顶风 迎风
顶峰 高峰
鼎力 大力
订正 修订
定期 活期
丢盔弃甲 落花流水
丢失 丧失
东北 西南
东倒西歪 井井有条
东方 西方
东风 西风
东南 西北
东洋 西洋
冬季 夏季
动荡 动乱
动工 开工
动静 动态
动乱 骚动
动怒 息怒
动人心魄 扣人心弦
动手 入手
动态 静态
动听 入耳
动物 植物
动向 意向
动摇 坚定
动员 发动
动作 举措
冻结 解冻
洞若观火 管窥蠡测
恫吓 威吓
抖动 颤动
抖擞 振作
陡峭 峻峭
斗争 妥协
逗引 逗弄
督促 催促
毒草 香花
独裁 专制
独唱 合唱
独创 首创
独断 专断
独断独行 一意孤行
独木桥 阳关道
独身 单身
独特 共同
独一无二 无独有偶
独自 单独
独奏 合奏
渎职 尽职
堵塞 梗塞
赌咒 发誓
杜绝 根绝
度过 渡过
度日如年 光阴似箭
端详 打量
短处 长处
短促 急促
短工 长工
短跑 长跑
短缺 充足
短少 缺少
短途 长途
短暂 长久
断定 判定
断交 绝交
断绝 隔绝
断送 葬送
锻炼 锤炼
对比 比照
对待 看待
对付 凑合
对抗 对立
对立 统一
对消 抵消
对于 关于
对症下药 有的放矢
敦厚 刁滑
敦实 矮壮
顿时 登时
遁辞 托辞
多次 屡次
多数 少数
咄咄逼人 盛气凌人
夺目 耀眼
夺取 攫取
躲避 规避
堕落 蜕化
讹诈 敲诈
额定 额外
额外 额定
扼守 把守
扼要 简明
恶毒 狠毒
恶感 反感
恶贯满盈 罪不容诛
恶化 好转
恶人 善人
恶意 歹意
恶浊 肮脏
遏止 抑止
愕然 惊诧
噩耗 凶讯
恩惠 恩德
恩将仇报 以怨报德
而后 然后
尔后 此后
尔虞我诈 钩心斗角
耳尖 耳背
耳濡目染 潜移默化
二心 一心
发表 宣布
发愁 忧愁
发出 收回
发达 兴旺
发呆 发愣
发动 发起
发奋 奋发
发愤图强 卧薪尝胆
